224	0	M	C1	L1	1	3	1	No
225	0	M	C4	L5	2	2	2	No
226	2	F	C2	L2	5	1	1	Yes
227	1	M	C2	other	3	3	1	No
228	1	F	other	L3	3	5	1	No
229	2	M	other	L3	5	2	1	No
230	NA	NA	NA	NA	NA	NA	NA	NA
231	1	M	C1	L1	3	2	4	No
232	1	F	C1	L3	1	2	4	No
233	0	M	other	L2	2	3	1	No
234	NA	NA	NA	NA	NA	NA	NA	NA
235	NA	NA	NA	NA	NA	NA	NA	NA
236	2	M	C2	other	5	2	1	Yes
237	2	M	C1	L1	3	1	2	No
238	0	F	other	other	2	3	1	Yes
239	1	M	C3	L2	6	1	1	No
240	0	M	C4	L5	2	2	1	No
241	0	M	C1	L2	2	2	1	Yes
242	NA	NA	NA	NA	NA	NA	NA	NA
243	1	M	C1	L4	3	3	1	No
244	0	M	C2	L2	2	3	1	Yes
245	1	F	C2	L2	2	1	1	No
246	1	F	C1	L1	6	1	1	Yes
247	NA	NA	NA	NA	NA	NA	NA	NA
248	1	F	C1	L1	3	2	1	Yes
249	2	M	C4	L5	4	1	1	No
250	NA	NA	NA	NA	NA	NA	NA	NA
251	0	M	C1	L1	2	3	1	No
252	1	M	other	L2	2	2	2	No
253	1	M	C2	L2	3	3	1	Yes
254	1	F	other	L2	6	2	1	Yes
255	NA	NA	NA	NA	NA	NA	NA	NA
256	NA	NA	NA	NA	NA	NA	NA	NA
257	NA	NA	NA	NA	NA	NA	NA	NA
258	1	M	other	other	4	5	2	Yes
259	3	M	C4	L5	5	1	1	Yes
260	0	M	C3	L2	2	3	2	No
261	NA	NA	NA	NA	NA	NA	NA	NA
